blighted,"Use the adjective blighted to describe something that has a condition that makes it weak or unable to grow, like a blighted lawn with more brown patches than green.",
confutative,able to be refuted,
ravenous,A ravenous person feels like they haven't eaten in days and could probably finish off 10 pizzas without help. So ravenous is not a good state to be in when you go grocery shopping.,
ostentatious,"Reach for the adjective ostentatious when you want a flashy way to say — well, ""flashy"" or ""showy.""",
blissful,"If you're blissful, you're happy and at peace. You can never have too many blissful moments.",
vulgarity,Vulgarity is the quality of being crude and lacking refinement. Fart jokes and swearing are both forms of vulgarity.,
verbosity,Verbosity is a quality possessed by people who talk a lot while saying very little at all.,
vocalizations,the sound made by the vibration of vocal folds modified by the resonance of the vocal tract,
garishness,tasteless showiness,
tonality,any of 24 major or minor diatonic scales that provide the tonal framework for a piece of music,
insentient,devoid of feeling and consciousness and animation,
magisterial,"A person who is magisterial can be distinguished and grand, or possibly just conceited and bossy. You will learn a lot if you listen to a magisterial presentation of early American history.",
reparatory,"Reparatory definition, tending to repair; repairing; mending. See more.",
restorative,tending to impart new life and vigor to,
modest,A person is modest if he or she is very successful but does not call attention to this.,
legible,"Legible describes readable print or handwriting. If someone tells you that your writing looks like ""chicken scratch,"" it might not be legible, except to other chickens.",
tolerable,capable of being borne or endured,
punctual,"When someone says “Be punctual,” that means you better be there on time. Five minutes late won’t cut it.",
literal,"To describe something as literal is to say that it is exactly what it seems to be. For example, if you put up a literal barrier to keep the world out, you've actually built a real wall.",
belligerent,"If someone is belligerent, they're eager to fight. It's a good idea to avoid hardcore hockey fans after their team loses — they tend to be belligerent.",
advocate,"An advocate (AD-və-kit) is someone who supports a cause, like an advocate for outdoor recess. Advocate (AD-və-kate) is also a verb meaning to speak in favor of, so you can advocate for that outdoor recess by urging your school to play outside!",
provoke,"Anything that brings about a strong reaction can be said to provoke. You can provoke that lion if you want. But if he responds by attacking, don't come running to me.",
perforate,"When you perforate something, you make a hole in it, like when you poke holes in a piece of aluminum foil to let steam escape while something is cooking.",
lamente,[],
expunge,"To expunge is to cross out or eliminate. After Nicholas proved he had been in school on the day in question, the absence was expunged from his record.",
titillated,feeling mild pleasurable excitement,
reiterated,"To reiterate something is to say or do something again, or many times. Let me reiterate: if you repeat yourself, you're reiterating the thing you originally said.",
scintillated,"The verb scintillate means to twinkle or glow, as in a flickering light. You may find it romantic to sit on the deck overlooking a lake on a clear night, where you can enjoy the scintillating stars in the sky and the reflection of the moon on the water.",
enthralled,"You are enthralled when filled with delight and wonder at something, to the point where time seems to stand still. Creators of day time soap operas count on viewers being enthralled to make their money.",
striated,"If a field is plowed into furrows, it's striated––or, technically, it's marked with striae, which are stripes or grooves.",
maximize,"When you maximize something, you make it as big as you possibly can, the way you would maximize your chances of winning the lottery if you spent all of your money on lottery tickets.",
recombinant,of or relating to recombinant DNA,
reiterate,"To reiterate something is to say or do something again, or many times. Let me reiterate: if you repeat yourself, you're reiterating the thing you originally said.",
necessitate,"The verb necessitate shows that something is necessary or needs to happen, as when a sweet tooth can necessitate a trip to the store for a triple-scoop ice cream — which will necessitate a trip to the gym.",
reciprocate,"You reciprocate when you return a favor, return a compliment, or respond ""the same to you"" to the angry guy in the car you just passed. In short, you react to an action, statement, or emotion by mirroring it.",
coerced,"You can bring a horse to water, but you can't make him drink. You can coerce — or pressure — someone to attend your office holiday party, but you can't make them have fun.",
proclaimed,declared publicly, made widely known
abetted,"To abet is to help someone do something, usually something wrong. If you were the lookout while your older sister swiped cookies from the cookie jar, you abetted her mischief.",
sanctioned,"If something’s sanctioned it’s officially approved. Now that your mom has finally come around, watching football with your friends on Sunday is a sanctioned ritual.",
solicited,"Solicit means to ask for. It is what those people on the street are doing, when they ask, ""Do you have a moment to talk about the destruction of the planet?"" They are soliciting donations for their cause.",
numeric,of or relating to or denoting numbers,
obstinate,"When someone is beyond stubborn, use the word obstinate instead: ""You obstinate old mule! Get out of my way!""",
dutiful,"Are you a dutiful person? If you are, then you do as you're told, out of a feeling of duty and obligation. Dutiful children know this means cleaning one's room, taking out the trash, and not talking back!",
prolific,Someone or something that is prolific is fruitful or highly productive. A prolific songwriter can churn out five hit tunes before breakfast.,
generic,"Generic refers to the members of a whole class of things — like ""tissue,"" a generic word for any soft, thin piece of paper that's good for wiping runny noses.",
satisfactory,"If something's satisfactory it's okay — acceptable, but maybe not great. When you take a course pass/fail, your grade will be satisfactory if you meet all the requirements and do a reasonable job, or unsatisfactory if you don't.",
commendable,"If something's commendable it deserves whatever praise it receives.  When you developed a car that could run on solar power, that was a commendable accomplishment.  Now, it's time to move from Seattle.",
galling,Something that's galling is frustrating or exasperating. A galling argument with your parents leaves you irritated and indignant.,
acceptable,"Something that is acceptable is satisfactory or proper for whatever purpose it is considered; it may not be all that’s hoped for, but it's at least adequate. A grade of “A” is best, but is a grade of ""C"" acceptable?  It depends on whom you ask.",
acute,Use the adjective acute for when you want to describe something as sharp or extremely serious.,
reprimand,"If you're reprimanded, someone in authority speaks to you in an angry way because you've done something wrong. Or you might reprimand your dog if he steals your hot dog.",
upbraid,"No, upbraid isn’t what girls get done at a salon before prom. When you upbraid people, you scold them, tell them off, and criticize them. (You could, however, upbraid your stylist after a bad haircut.)",
abdicate,"Sometimes someone in power might decide to give up that power and step down from his or her position. When they do that, they abdicate their authority, giving up all duties and perks of the job.",
winnow,"To winnow is to blow something away until you are left with what you want, like grain from chaff. If you only want your favorite people to attend your party, you will need to winnow down the guest list from 300 to 30.",
extol,"If you have a crush on a guy who likes your best friend, it can be very depressing to listen to him extol your friend's virtues, while you just nod and smile. If you extol something, you praise it very highly.",
predilection,"A predilection is a preference for or bias toward something. If you have a predilection for wool clothing, you should take up knitting.",
coercion,"Coercion is making something happen by force, like when bullies use coercion to make kids give them their lunch money.",
excursion,"An excursion is taken more for pleasure than for practical reasons. Your business trip, when you spent most of the week waiting in airports and adjusting to different time zones, does not count as an excursion.",
volition,"When you do something voluntarily, you do it of your own volition, or will. Doing something willingly, or because you agree to it, is doing something of your own volition.",
infusion,"The most common example of an infusion you are likely to encounter in your daily life is your morning cup of coffee. An infusion is the creation of a new substance by steeping another substance in a liquid, usually water.",
malodorous,"You can use the adjective malodorous as a nicer way to say that something's stinky. Maybe you think your feet smell like roses, but if people move far away when your shoes come off, your rosy feet are probably malodorous.",
prevalent,"Something prevalent is common in a particular place at a particular time. Prevalent things are hard to avoid. When you see the word prevalent, think ""It's everywhere!""",
imposing,"Imposing is an adjective reserved for those things that are impressive in the sense that they are large or serious, as in the US Capitol Building or even, say, a professional wrestler.",
perforated,"Something perforated usually contains a series of tiny holes. You might see a perforated line on a utility bill, where you are supposed to tear off that part to mail in with your check.",
emphatic,Emphatic means forceful and clear. Nicole's mother was emphatic when she told her not to come home late again.,
quaint,"Quaint means strange and unusual in an old-fashioned and charming way. It's a word you'd use to describe a little store that sells tea cozies and antique tea services, or your grandmother's habit of calling the radio the ""wireless.""",
fastidious,"If you want to describe a person who insists on perfection or pays much attention to food, clothing and cleanliness, the right word is fastidious.",
clandestine,"Pick the adjective, clandestine, to describe something that is done in secret, like your clandestine attempts to steal your brother's Halloween candy.",
laconic,"Laconic is an adjective that describes a style of speaking or writing that uses only a few words, often to express complex thoughts and ideas.  A more laconic way to write that last sentence might be this: laconic means brief.",
fetid,"If you want to understand the true meaning of  fetid, leave your sweaty gym clothes in your locker for a few days.  Fetid is a fancy way of saying that something smells really bad.",
hospitable,"When someone makes you feel comfortable and at home, that person is being hospitable, providing a warm, friendly environment. Anything hospitable is welcoming and open.",
itinerant,"An itinerant is a person who moves from place to place, typically for work, like the itinerant preacher who moves to a new community every few years.",
enterprising,"If you are enterprising, you are creative and show initiative. Were you the kid who bought candy before school and sold it during school at a profit? If so, you were an enterprising little one.",
chivalrous,A man who is courteous and attentive to women can be described as chivalrous: “The chivalrous stranger picked up the packages Veronica dropped and held the door open while she entered the apartment building.”,
irreverent,"If you are irreverent, you don’t show respect toward something, like your irreverent singing of your school's alma mater in a funny voice.",
inferior,"You might call something inferior if its quality isn't as good as another, comparable thing, like that kite that you can't get to fly no matter how fast you run back and forth while your friend's kite soars overhead.",
keen,"If you have a keen interest in something, you are really, really into it. Keen is an adjective that describes something that is intense and focused.",
impressionable,Someone who is impressionable is easily influenced. An impressionable person can be greatly changed by his or her experiences — not always in a good way.,
