1,"She hadn't eaten all day, and by the time she got home she was
______.
",blighted,confutative,ravenous,ostentatious,blissful
2,"The movie offended many of the parents of its younger viewers by
including unnecessary ______ in the dialogue.
",vulgarity,verbosity,vocalizations,garishness,tonality
3,"His neighbors found his ______ manner bossy and irritating, and
they stopped inviting him to backyard barbeques.
",insentient,magisterial,reparatory,restorative,modest
4,"Steven is always ______ about showing up for work because he
feels that tardiness is a sign of irresponsibility.
",legible,tolerable,punctual,literal,belligerent
5,"Candace would ______ her little sister into an argument by teasing
her and calling her names.
",advocate,provoke,perforate,lamente,expunge
6,"The dress Ariel wore ______ with small, glassy beads, creating a
shimmering effect.
",titillated,reiterated,scintillated,enthralled,striated
7,"Being able to afford this luxury car will ______ getting a betterpaying
job.
",maximize,recombinant,reiterate,necessitate,reciprocate
8,"Levina unknowingly ______ the thief by holding open the elevator
doors and ensuring his escape.
",coerced,proclaimed,abetted,sanctioned,solicited
9,"Shakespeare, a(n) ______ writer, entertained audiences by writing
many tragic and comic plays.
",numeric,obstinate,dutiful,prolific,generic
10,"I had the ______ experience of sitting next to an over-talkative
passenger on my flight home from Brussels.
",satisfactory,commendable,galling,acceptable,acute
11,"Prince Phillip had to choose: marry the woman he loved and ______
his right to the throne, or marry Lady Fiona and inherit the crown.
",reprimand,upbraid,abdicate,winnow,extol
12,"If you will not do your work of your own ______, I have no choice
but to penalize you if it is not done on time.
",predilection,coercion,excursion,volition,infusion
13,"After sitting in the sink for several days, the dirty, food-encrusted
dishes became ______.
",malodorous,prevalent,imposing,perforated,emphatic
14,"Giulia soon discovered the source of the ______ smell in the room:
a week-old tuna sandwich that one of the children had hidden in
the closet.
",quaint,fastidious,clandestine,laconic,fetid
15,"After making ______ remarks to the President, the reporter was
not invited to return to the White House pressroom.
",hospitable,itinerant,enterprising,chivalrous,irreverent
16,"With her ______ eyesight, Krystyna spotted a trio of deer on the
hillside and she reduced the speed of her car.
",inferior,keen,impressionable,ductile,conspiratorial
17,"With a(n) ______ grin, the boy quickly slipped the candy into his
pocket without his mother's knowledge.
",jaundiced,nefarious,stereotypical,sentimental,impartial
18,"Her ______ display of tears at work did not impress her new boss,
who felt she should try to control her emotions.
",maudlin,meritorious,precarious,plausible,schematic
19,"Johan argued, ""If you know about a crime but don't report it, you
are ______ in that crime because you allowed it to happen.""
",acquitted,steadfast,tenuous,complicit,nullified
20,"The authorities, fearing a ______ of their power, called for a
military state in the hopes of restoring order.
",subversion,premonition,predilection,infusion,inversion
21,"The story's bitter antagonist felt such great ______ for all of the other
characters that as a result, his life was very lonely and he died alone.
",insurgence,malevolence,reciprocation,declamation,preference
22,"It is difficult to believe that charging 20% on an outstanding credit
card balance isn't ______!
",bankruptcy,usury,novice,kleptomania,flagrancy
